Наименование;Бренд;Линейка;Категория;Количество;Сумма
H6 МЕДОВИЙ КАШТАН 3305909000,;PALETTE;PALETTE;Краска;538;7532
H6 МЕДОВИЙ КАШТАН 3305909000,;PALETTE;PALETTE;Краска;25;350
9-1 ДУЖЕ СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;36;953,28
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;885;17664,6
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;2;28,42
770 ЧЕРВОНА БРОНЗА 3305909000,;PALETTE;Фитолиния;Краска;-12;-163,92
7-10 НАТУРАЛЬНИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;115;2328,75
665 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;290;10689,4
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;9;156,24
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;13;181,09
"2.ЧЕРВ.СЕР_Я ГЕЛЬ-В_СК ""СЯЯННЯ Д_АМАНТ_В"" 75МЛ 3305909000,";TAFT;Гель-воск;Стайлинг;370;7640,5
13.ШАМПУНЬ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;18;298,08
1-18 Г_РКИЙ ШОКОЛАД М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;48;1482,72
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;213;2421,81
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;539;6462,61
ШАМПУНЬ 225МЛ Ф_ТО-КОФЕЇН 3305100000,;SCHAUMA;Шампунь;Уход за волосами;64;508,8
ШАМПУНЬ 225МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;213;1701,87
ЧИСТОТА ТА ДОГЛЯД ГРЕЙПФРУТ 90Г 3401110000,;FA;FA-мыло;Мыло;5;15,3
ОЧИЩУЮЧА ОЛ_Я-МОЛОЧКО Б/СЛ_Д_В 200МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;-12;-245,88
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;13;159,9
БАЛЬЗАМ 200МЛ PUSH-UP ОБ`ЄМ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;156;1246,44
SPORT СУПЕРЗАХИСТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;48;477,6
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;-2;-24,66
9.ШАМПУНЬ ЧОЛОВ_ЧИЙ Д/НОРМ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;371;7720,51
800 РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;293;10799,98
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;9;130,05
678 ЧЕРВОНИЙ ГРАНАТ 3305909000,;PALETTE;Фитолиния;Краска;2;28,42
650 ГОР_ХОВИЙ КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;25;348,25
6458 ПРОТИ ЗМОРШОК В_ДНОВЛ.Н_Ч 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;116;3757,24
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;893;18485,1
4054 ПРОТИ ЗМОРШОК ЗВОЛОЖ.ДЕНЬ 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;86;2785,54
1.СИН.СЕР_Я ULTRA ЛАК Б/ЗАПАХУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;18;263,16
"1.""Р_ДКИЙ ШОВК"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;36;872,64
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;371;3569,02
"МИЛО+ЛОСЬЙОН ""ГРАНАТ"" 90Г 3401110000,";FA;FA-мыло;Мыло;5;15,3
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;25;321,25
ГЕЛЬ Д/ДУШУ XTREME POLAR 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;293;3844,16
"ВИПРЯМЛЯЮЧИЙ СПРЕЙ ""4 ДН_ ГЛАДКОСТ_"" 150МЛ 3305909000,";SYOSS;Спрей;Уход за волосами;215;5093,35
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;158;1707,98
NUTRI SKIN ЗВОЛОЖЕННЯ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;86;1909,2
N6 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;9;127,89
9-5 ГЛАМУРНИЙ МИГДАЛЬ 3305909000,;PALETTE; COLOR&GLOSS;Краска;-2;-27,96
900 ЧОРНИЙ 3305909000,;PALETTE;Фитолиния;Краска;13;147,81
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;18;261,54
657 КАШТАНОВИЙ М_ДНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;2;28,1
6.ШАМПУНЬ ANTI-DANDRUFF CONTROL ПРОТИ ЛУПИ 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;65;1345,5
5-29 _НТЕНСИВНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;SYOSS;Краска;-11;-292,82
4.POWER Р_ДИНА Д/УКЛАДКИ 150МЛ 3305909000,;TAFT;Жидкость для укладки;Стайлинг;116;2448,76
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;895;13407,1
3-12 КАКАО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;49;1505,28
13.МАСКА OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 250МЛ 3305909000,;SYOSS;Маска;Уход за волосами;36;866,52
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000";GLISS KUR;Шампунь;Уход за волосами;542;7983,66
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;909;11162,52
ДИТЯЧИЙ ШАМПУНЬ Д/ХЛОПЧИК_В 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;553;7106,05
Д.КАСПАР_ РОЗГЛАДЖ.ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;6;331,5
"ВИПРЯМЛЯЮЧИЙ СПРЕЙ ""4 ДН_ ГЛАДКОСТ_"" 150МЛ 3305909000,";SYOSS;Спрей;Уход за волосами;36;857,52
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;116;1484,8
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;9;89,55
C12 АРКТИЧНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;2;28
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;18;212,04
850 ТЕМНИЙ ШАТЕН 3305909000,;PALETTE;Фитолиния;Краска;13;147,81
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;25;294,5
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;373;4393,94
7-5 СОЛОДКИЙ ГОР_Х 3305909000,;PALETTE; COLOR&GLOSS;Краска;-2;-27,96
657 КАШТАНОВИЙ М_ДНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;294;10836,84
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;215;3169,1
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;86;977,82
5-21 СВ_ТЛО-КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;PRONATURE;Краска;49;1297,52
4-2 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;SYOSS;Краска;-11;-292,82
"11.ШАМПУНЬ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;65;1345,5
1-1 ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;159;4302,54
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;116;1382,72
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;18;172,26
ЙОГУРТ АЛОЕ ВЕРА 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;25;268,75
SPORT ПРОЗОРИЙ ЗАХИСТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;65;646,75
888 ДИКА ВИШНЯ 3305909000,;BRILLANCE;BRILLANCE;Краска;6;166,98
8.БАЛЬЗАМ SMOOTH RELAX Д/НЕСЛУХН.,КУЧЕР.ВОЛ. 500МЛ 330590900;SYOSS;Бальзам;Уход за волосами;-2;-34,72
665 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;87;3224,22
6519 ЗВОЛОЖУЮЧЕ Н_ЖНЕ ОЧИЩУЮЧЕ МОЛОЧКО 200МЛ 3304990000,;DIADEMINE;NUTRI EFFECT;Уход за кожей;-10;-213,1
568 КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;294;10836,84
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;159;2259,39
"4.POWER ЛАК 350МЛ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 3305300000,";TAFT;Лак;Стайлинг;49;785,96
4.POWER ГЕЛЬ Д/УКЛАДКИ З КОФЕЇНОМ 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;216;4460,4
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;913;13256,76
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;36;797,04
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;2;28
300 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;13;147,81
11-0 СИЛЬНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;10;266,3
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;556;7900,76
1-0 ЧОРНИЙ 3305909000,;PALETTE; SALON COLORS;Краска;375;7391,25
ШАМПУНЬ 380МЛ СЛУХНЯНИЙ ШОВК 3305100000,;SCHAUMA;Шампунь;Уход за волосами;116;1139,12
ШАМПУНЬ 380МЛ Д/ВОЛОССЯ ТА Т_ЛА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;920;11297,6
ЧУДОВ_ МОМЕНТИ (ГОЛУБОЙ) 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;294;3763,2
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;159;1807,83
SENSUAL&OIL КВ_ТКА Т_АРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;377;1157,39
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;-2;-35,14
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;65;572
NATURAL&CREAM МАКАДАМ_Я _ ЗЕЛЕНА КАВА 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;13;143
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;2;27,86
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;557;7914,97
874 ОКСАМИТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;6;166,02
8-52 ХОЛОДНИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;10;266,2
800 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;218;7499,2
5-85 ГОР_ХОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;19;586,91
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;49;686
5-28 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;87;2354,22
400 СЕРЕДНЬО-РУСИЙ 3305909000,;PALETTE; DELUXE;Краска;25;220,5
11-0 СИЛЬНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;-10;-266,2
"11.БАЛЬЗАМ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;36;745,2
ШАМПУНЬ 380МЛ Q10 3305100000,;SCHAUMA;Шампунь;Уход за волосами;557;6839,96
ШАМПУНЬ 225МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;65;519,35
ЧИСТОТА ТА СВ_Ж_СТЬ ЛАЙМ _ _МБИР 250МЛ 3401209000,;FA;FA-жидкое мыло;Жидкое мыло;-9;-110,97
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;25;199
ДИТЯЧИЙ ШАМПУНЬ Д/ХЛОПЧИК_В 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;49;602,7
"ГЕЛЬ+ЛОСЬЙОН ""ГРАНАТ"" 250МЛ 3401300000,";FA;FA-гель для душа;Гель для душа;13;114,4
8-52 ХОЛОДНИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;6;159,78
800 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;2;27,86
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;937;13605,24
7.KERATIN (4) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;379;5586,46
6489 ЗАХИСТ _ ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;87;2213,28
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;159;1807,83
388 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;117;4024,8
3-82 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;OLEO INTENSE;Краска;19;549,67
300 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;295;4130
"3.""TOTAL-В_ДНОВЛЕННЯ"" СИРОВАТКА-СПРЕЙ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;220;4989,6
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000";GLISS KUR;Шампунь;Уход за волосами;36;522,72
1-1 ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;10;266,2
1.БАЛЬЗАМ SHINE BOOST Д/ЛАМК.,ТЬМЯНОГО ВОЛ. 500МЛ 3305909000;SYOSS;Бальзам;Уход за волосами;-2;-36,3
ШАМПУНЬ 380МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;561;6726,39
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;159;1011,24
ЛАК ДЛЯ ВОЛОССЯ VOLUME LIFT 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;380;8968
ГЕЛЬ Д/ДУШУ XTREME COOL 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;36;474,84
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;-2;-38,72
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;948;13764,96
811 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;BRILLANCE;BRILLANCE;Краска;19;525,73
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;2;27,32
757 ВИШНЕВИЙ КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;-9;-126
5-68 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;296;5834,16
568 КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;26;963,56
4.ШАМПУНЬ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;87;1800,9
"4.""NUTRITIVE"" ДОВГ.ВОЛ. СИРОВАТКА-СПРЕЙ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;66;1496,88
"3.""TOTAL-В_ДНОВЛЕННЯ"" СИРОВАТКА-СПРЕЙ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;117;2590,38
2-28 ТЕМНИЙ ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;10;264,8
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;6;159,78
13.БАЛЬЗАМ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;220;4578,2
1100 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;14;484,26
1010 ПЕРЛИННИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;50;1853
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;2;23,84
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;562;7193,6
ОЧИЩУЮЧИЙ П_Л_НГ 100МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;-9;-184,41
ЛАК ДЛЯ ВОЛОССЯ COLOR GUARD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;50;1180
RFE3 БАКЛАЖАН 3305909000,;PALETTE;PALETTE;Краска;380;5320
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;296;2945,2
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;220;3242,8
668 Л_СОВИЙ ГОР_Х 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;6;154,8
5-92 НАСИЧЕНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;117;2369,25
550 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;66;1216,38
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;160;1819,2
4-60 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;14;405,02
4-58 МОККО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;26;803,14
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;36;431,28
3.МАСКА COLOR GUARD Д/ФАРБ.ВОЛ. 200МЛ 3305909000,;SYOSS;Маска;Уход за волосами;-2;-46,42
2-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;19;505,97
"2.ЧЕРВ.СЕР_Я ГЕЛЬ-В_СК ""СЯЯННЯ Д_АМАНТ_В"" 75МЛ 3305909000,";TAFT;Гель-воск;Стайлинг;10;200,5
"12.ШАМПУНЬ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305100";SYOSS;Шампунь;Уход за волосами;951;19685,7
100 ЧОРНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;87;1603,41
ШАМПУНЬ 380МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;36;429,12
ШАМПУНЬ 225МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;563;4498,37
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;87;832,59
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;298;3829,3
ВИПРЯМЛЯЮЧИЙ БАЛЬЗАМ STRAIGHT EFFECT 150МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;-9;-206,19
NUTRI SKIN ЗВОЛОЖЕННЯ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;50;1088,5
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;10;142,1
950 ЗОЛОТИСТО-РУСЯВИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;162;5572,8
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;390;5842,2
6.ШАМПУНЬ ANTI-DANDRUFF CONTROL ПРОТИ ЛУПИ 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;6;99,36
5-1 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;26;688,48
4-1 КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;14;372,82
"4.POWER П_НА Д/УКЛАДКИ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;2;23,58
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;962;21818,16
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;221;3094
3-82 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;OLEO INTENSE;Краска;117;2369,25
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;19;505,97
2.МАСКА REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 200МЛ 3305909000,;SYOSS;Маска;Уход за волосами;-2;-46,42
10.БАЛЬЗАМ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;66;1197,9
ШАМПУНЬ 380МЛ PUSH-UP ОБ`ЄМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;569;6987,32
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;87;695,13
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;36;286,56
C12 АРКТИЧНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;2;22,74
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;10;142,1
9-5 ПЕРЛИННИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;299;8090,94
868 ШОКОЛАДНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;226;3164
8-6 СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;-9;-239,67
819 КРИСТАЛЬНА ШАМПАНЬ 3305909000,;BRILLANCE;BRILLANCE;Краска;118;3333,5
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;66;964,92
6-1 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;-2;-53,26
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;6;99,36
4.POWER ЛАК Д/ВОЛОССЯ З КОФЕЇНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;964;14440,72
"4.""NUTRITIVE"" ДОВГ.ВОЛ. МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;26;633,88
3-82 ТЕПЛИЙ ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;14;372,68
218 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE; DELUXE;Краска;19;464,36
1-1 СИНЬО-ЧОРНИЙ 3305909000,;PALETTE; SALON COLORS;Краска;50;985,5
1000 НАТУРАЛЬНИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;395;14559,7
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;163;1920,14
ШАМПУНЬ 225МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;395;3140,25
