Наименование;Бренд;Линейка;Категория;Количество;Сумма
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ БАВОВНИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;140;1374,8
ШАМПУНЬ 380МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;345;4236,6
"ОЧИЩУЮЧЕ МОЛОЧКО LIFT+ ""ЗВУЖ.ПОР"" 200МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;1;27,22
В_ДНОВЛЕННЯ+Л_ФТИНГ ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+;Уход за кожей;17;686,46
N12 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;103;1171,11
H8 МЕДОВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;261;3654
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;32;363,84
950 ЗОЛОТИСТО-РУСЯВИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;-4;-138,36
898 Н_ЧНИЙ Д_АМАНТ 3305909000,;BRILLANCE;BRILLANCE;Краска;23;636,41
8.БАЛЬЗАМ SMOOTH RELAX Д/НЕСЛУХН.,КУЧЕР.ВОЛ. 500МЛ 330590900;SYOSS;Бальзам;Уход за волосами;-43;-852,26
706 БЛАГОРОДНИЙ ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE; DELUXE;Краска;8;195,52
4.POWER ЛАК Д/ВОЛОССЯ З КОФЕЇНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;198;2894,76
4.POWER ГЕЛЬ Д/УКЛАДКИ N-TOUCH 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;77;1552,32
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;477;10560,78
"3.ЗЕЛ.СЕР_Я ЛАК ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 225МЛ 3305300000,";TAFT;Лак;Стайлинг;720;10785,6
"3.ЗЕЛ.СЕР_Я ЛАК ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 225МЛ 3305300000,";TAFT;Лак;Стайлинг;59;862,58
"2.""ЗАХИСТ КОЛЬОРУ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;12;151,92
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;4;47,12
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;43;473
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;59;722,16
ДИНЯ ТА Л_Ч_ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;720;7920
ДЕЗ.СТ_К XTREME SPORTS 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;12;148,8
ГЕЛЬ ДЛЯ УКЛАДКИ MAX HOLD 250МЛ 3305909000,;SYOSS;Гель для укладки;Стайлинг;23;547,86
NUTRI SKIN INVISIBLE CONTROL 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;32;307,84
N5 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;4;45,48
N12 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;77;1094,17
840 ЗАЧАРОВУЮЧИЙ РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;17;473,11
8-15 ШАМПАНЬ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;141;4435,86
8-15 ШАМПАНЬ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;104;3194,88
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;264;3109,92
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;346;5096,58
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;8;154,4
"6.""ШИ КАШЕМ_Р"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;-39;-566,28
5-60 СВ_ЖА ОЖИНА 3305909000,;PALETTE; COLOR&GLOSS;Краска;-3;-32,73
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;478;6792,38
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;201;3646,14
1-1 ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;1;26,62
ШАМПУНЬ 380МЛ СУПЕРФРУКТИ ТА ЖИВЛЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;-36;-431,64
ШАМПУНЬ 380МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;729;8740,71
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;4;40,96
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;12;146,88
ДЕЗ.СТ_К XTREME DRY 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;201;3115,5
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;43;411,51
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;60;1212,6
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;-3;-33,87
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;346;4844
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;264;3001,68
9-5 ПЕРЛИННИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;105;2795,1
8-7 КАРАМЕЛЬНИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;17;452,71
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;23;344,54
6-8 ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;1;26,62
4-1 КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;142;3842,52
4061 ПРОТИ ЗМОРШОК КОНТУР ОЧЕЙ 15МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;33;994,62
4-0 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;481;9480,51
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;78;1168,44
10.БАЛЬЗАМ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;8;145,2
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;12;143,04
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;4;38,72
ЛАК ДЛЯ ВОЛОССЯ MAX HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;203;4790,8
ЛАК ДЛЯ ВОЛОССЯ HOLD&FLEX 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;1;23,47
W2 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE;PALETTE;Краска;347;3945,39
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;-3;-33,87
N2 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;23;322
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;737;10472,77
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;145;2813
6-1 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;17;452,54
600 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;79;2927,74
5-86 КАРАМЕЛЬНИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;33;954,69
568 КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;8;137,12
4152 ФОРМУЛА МОЛОДОСТ_ Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;44;2417,8
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;60;1189,2
3.ЗЕЛ.СЕР_Я П_НА ЗСФ Д/ТОНКОГО ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;265;3850,45
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;105;1462,65
"11.БАЛЬЗАМ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;483;9998,1
"1.СИН.СЕР_Я ULTRA П_НА ""ШОВКОВИЙ ДОТИК"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;-34;-470,56
ШАМПУНЬ 380МЛ АКТИВАТОР З КОФЕЇНОМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;-3;-35,97
ШАМПУНЬ 225МЛ Q10 3305100000,;SCHAUMA;Шампунь;Уход за волосами;738;5896,62
ЛАК ДЛЯ ВОЛОССЯ FIX&SMOOTH 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;147;3469,2
ЛАК ДЛЯ ВОЛОССЯ COLOR GUARD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;1;22,47
ДЕЗ.АЕРОЗОЛЬ XTREME COOL 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;12;128,04
NUTRI SKIN NATURAL FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;105;1351,35
N6 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;483;6762
820 ХОЛОДНИЙ ТЕМНО-РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;5;139,1
8-1 СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;33;873,84
7.БАЛЬЗАМ MOISTURE INT.CARE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 330590900;SYOSS;Бальзам;Уход за волосами;-31;-562,65
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;60;718,8
655 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;PALETTE; DELUXE;Краска;17;413,27
586 ЧЕРВОНЕ ДЕРЕВО 3305909000,;COLOR MASK;COLOR MASK;Краска;204;7519,44
5-28 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;44;1165,12
